"","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"met158","3-aminoisobutyrate","Nucleotide","Pyrimidine Metabolism, Thymine containing",1566,"LC/MS Pos Early",1114,2190,104.07061,"10569-72-9;214139-20-5",64956,"C05145",""
"met159","3beta-hydroxy-5-cholestenoate","Lipid","Sterol",54805,"LC/MS Neg",100006370,5398,415.32177,"6561-58-6",165511,"C17333",""
"met160","3-ethylphenylsulfate","Xenobiotics","Benzoate Metabolism",36848,"LC/MS Neg",100001808,3530,201.0227,"",NA,"C14386","HMDB00396"
"met161","3-hydroxy-2-ethylpropionate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",32397,"LC/MS Neg",100001170,975,117.05571,"4374-62-3",188979,"","HMDB00355"
"met162","3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism",531,"LC/MS Polar",112,2850,161.04555,"503-49-1",1662,"C03761","HMDB00357"
"met163","3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies",542,"LC/MS Polar",254,1475,103.04007,"625-72-9",441,"C01089","HMDB13127"
"met164","3-hydroxybutyrylcarnitine (1)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",43264,"LC/MS Pos Early",100003926,2400,248.14925,"",53481617,"","HMDB13127"
"met165","3-hydroxybutyrylcarnitine (2)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",52984,"LC/MS Pos Early",100009271,2340,248.14925,"",NA,"","HMDB02203"
"met166","3-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",22053,"LC/MS Neg",100000997,4634.7,187.13396,"5561-87-5",26612,"",""
"met167","3-hydroxyhexanoate","Lipid","Fatty Acid, Monohydroxy",53230,"LC/MS Neg",100006367,1725,131.07136,"10191-24-9",151492,"","HMDB06116"
"met168","3-hydroxyhippurate","Xenobiotics","Benzoate Metabolism",39600,"LC/MS Neg",100002122,1687,194.04588,"1637-75-8",450268,"",""
"met169","3-hydroxyindolin-2-one sulfate","Xenobiotics","Chemical",48419,"LC/MS Neg",100006103,2082,227.99721,"",NA,"","HMDB00336"
"met170","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1549,"LC/MS Polar",111,1619,103.04007,"2068-83-9",87,"C06001","HMDB00387"
"met171","3-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy",32457,"LC/MS Neg",100001112,5175,215.16526,"53941-38-1",94216,"","HMDB01954"
"met172","3-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22001,"LC/MS Neg",100000773,3446,159.10266,"88930-08-9",26613,"",""
"met173","3-hydroxyphenylacetate sulfate","Amino Acid","Tyrosine Metabolism",52921,"LC/MS Neg",100006634,969,230.99688,"",NA,"",""
"met174","3-hydroxypyridine sulfate","Xenobiotics","Chemical",48448,"LC/MS Neg",100006098,1595.5,173.98665,"1955-23-3",NA,"","HMDB00325"
"met175","3-hydroxysuberate","Lipid","Fatty Acid, Monohydroxy",31936,"LC/MS Neg",100001143,644,189.07684,"73141-47-6",22328017,"","HMDB00682"
"met176","3-indoxyl sulfate","Amino Acid","Tryptophan Metabolism",27672,"LC/MS Neg",100000467,2222.2,212.0023,"2642-37-7",10258,"","HMDB00022"
"met177","3-methoxytyramine","Amino Acid","Tyrosine Metabolism",38630,"LC/MS Pos Early",118,2635,168.10191,"1477-68-5",1669,"C05587",""
"met178","3-methoxytyramine sulfate","Amino Acid","Tyrosine Metabolism",44618,"LC/MS Neg",100004634,1722,246.04416,"",NA,"","HMDB01434"
"met179","3-methoxytyrosine","Amino Acid","Tyrosine Metabolism",12017,"LC/MS Pos Early",1342,2555,212.09174,"300-48-1",1670,"",""
"met180","3-methyl catechol sulfate (1)","Xenobiotics","Benzoate Metabolism",46165,"LC/MS Neg",100004112,2790,203.00196,"",NA,"","HMDB00019"
"met181","3-methyl-2-oxobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",44526,"LC/MS Polar",100000936,911,115.04006,"3715-29-5",49,"C00141","HMDB03736"
"met182","3-methyl-2-oxovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",15676,"LC/MS Neg",100000036,2064.2,129.05572,"1460-34-0;51829-07-3",47,"C00671","HMDB00555"
"met183","3-methyladipate","Lipid","Fatty Acid, Dicarboxylate",36749,"LC/MS Polar",100001765,2865,159.06628,"1/3/58",12292,"","HMDB00522"
"met184","3-methylglutaconate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",57747,"LC/MS Polar",100002458,2700,99.04518,"5746-90-7",1551553,"","HMDB00479"
"met185","3-methylhistidine","Amino Acid","Histidine Metabolism",15677,"LC/MS Neg",100000042,906.3,168.07785,"368-16-1",64969,"C01152","HMDB00764"
"met186","3-phenylpropionate (hydrocinnamate)","Xenobiotics","Benzoate Metabolism",15749,"LC/MS Neg",100000010,2860,149.0608,"501-52-0",107,"C05629","HMDB02031"
"met187","3-ureidoisobutyrate","Nucleotide","Pyrimidine Metabolism, Uracil containing",57549,"LC/MS Polar",100001531,1910,145.06186,"2905-86-4",160663,"C05100","HMDB00026"
"met188","3-ureidopropionate","Nucleotide","Pyrimidine Metabolism, Uracil containing",3155,"LC/MS Pos Early",1053,875,133.06077,"462-88-4",111,"C02642",""
"met189","4-acetamidobenzoate","Xenobiotics","Chemical",57585,"LC/MS Neg",100009413,1403,178.05096,"556-08-1",19266,"D03836","HMDB03681"
"met190","4-acetamidobutanoate","Amino Acid","Polyamine Metabolism",1558,"LC/MS Pos Early",1113,1350,146.08117,"3025-96-5",18189,"C02946",""
"met191","4-acetylphenol sulfate","Xenobiotics","Drug",44620,"LC/MS Neg",100000711,2375,215.00196,"",4684006,"",""
"met192","4-allylphenol sulfate","Xenobiotics","Food Component/Plant",37181,"LC/MS Neg",100001868,3805,213.0227,"",NA,"","HMDB00921"
"met193","4-cholesten-3-one","Lipid","Sterol",38125,"LC/MS Pos Late",100002227,2520,385.3465,"601-57-0",91477,"C00599",""
"met194","4-ethylphenylsulfate","Xenobiotics","Benzoate Metabolism",36099,"LC/MS Neg",100001756,3580,201.0227,"123-07-9",NA,"C13637","HMDB03464"
"met195","4-guanidinobutanoate","Amino Acid","Guanidino and Acetamido Metabolism",15681,"LC/MS Pos Early",100000096,2320,146.09241,"463-003;463-00-3",500,"C01035",""
"met196","4-hydroxycinnamate sulfate","Amino Acid","Tyrosine Metabolism",48410,"LC/MS Neg",100006095,1000,242.99688,"376374-66-2",6070438,"","HMDB13678"
"met197","4-hydroxyhippurate","Xenobiotics","Benzoate Metabolism",35527,"LC/MS Neg",100001423,1475,194.04588,"2482-25-9",151012,"","HMDB00020"
"met198","4-hydroxyphenylacetate","Amino Acid","Phenylalanine Metabolism",541,"LC/MS Neg",144,1361,151.04007,"156-38-7",127,"C00642",""
"met199","4-hydroxyphenylacetylglycine","Peptide","Acetylated Peptides",43525,"LC/MS Neg",100004418,1622,208.06153,"28116-23-6",440732,"C05596","HMDB00707"
"met200","4-hydroxyphenylpyruvate","Amino Acid","Tyrosine Metabolism",1669,"LC/MS Neg",1141,1690,179.03498,"156-39-8",979,"C01179","HMDB02024"
"met201","4-imidazoleacetate","Amino Acid","Histidine Metabolism",32349,"LC/MS Pos Early",100001207,2055,127.05021,"645-65-8",96215,"C02835","HMDB00695"
"met202","4-methyl-2-oxopentanoate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",22116,"LC/MS Neg",100000551,2170,129.05571,"816-66-0",70,"C00233",""
"met203","4-methylcatechol sulfate","Xenobiotics","Benzoate Metabolism",46146,"LC/MS Neg",100004111,2665,203.00196,"",NA,"",""
"met204","4-vinylguaiacol sulfate","Xenobiotics","Food Component/Plant",48442,"LC/MS Neg",100006126,3354,229.01761,"",NA,"","HMDB04072"
"met205","4-vinylphenol sulfate","Xenobiotics","Benzoate Metabolism",36098,"LC/MS Neg",100001755,3320,199.00705,"2628-17-3",6426766,"C05627","HMDB01397"
"met206","guanosine 5'- monophosphate (5'-GMP)","Nucleotide","Purine Metabolism, Guanine containing",2849,"LC/MS Pos Early",347,800,364.06528,"12/9/50",6804,"C00144",""
"met207","5-(galactosylhydroxy)-L-lysine","Amino Acid","Lysine Metabolism",43582,"LC/MS Pos Early",100002462,2755,325.16055,"32448-36-5",NA,"",""
"met208","5alpha-pregnan-3beta,20beta-diol monosulfate (1)","Lipid","Progestin Steroids",37196,"LC/MS Neg",100002009,5180,399.22106,"",NA,"","HMDB03355"
"met209","5-aminovalerate","Amino Acid","Lysine Metabolism",18319,"LC/MS Pos Early",100000454,2220,118.08626,"660-88-8",138,"C00431",""
"met210","5-bromotryptophan","Amino Acid","Tryptophan Metabolism",53242,"LC/MS Neg",100009338,3525,280.99311,"",96735,"","HMDB00529"
"met211","5-dodecenoate (12:1n7)","Lipid","Medium Chain Fatty Acid",33968,"LC/MS Neg",100001232,5224,197.1547,"2430-94-6",5312378,"","HMDB05081"
"met212","5-HEPE","Lipid","Eicosanoid",46297,"LC/MS Neg",100002135,5316,317.21221,"83952-40-3",6439678,"","HMDB11134"
"met213","5-HETE","Lipid","Eicosanoid",37372,"LC/MS Neg",100002137,5382,319.22786,"73307-52-5",5280733,"C04805",""
"met214","5-hydroxyindole sulfate","Amino Acid","Tryptophan Metabolism",52914,"LC/MS Neg",100009042,1928,212.0023,"",NA,"","HMDB00450"
"met215","5-hydroxylysine","Amino Acid","Lysine Metabolism",15685,"LC/MS Pos Early",100000054,2790,163.10772,"13204-98-3",1029,"C16741",""
"met216","5-hydroxymethyl-2'-deoxycytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",57654,"LC/MS Neg",100010957,1486,256.09389,"7226-77-9",169016,"",""
"met217","5-hydroxymethylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",54737,"LC/MS Neg",100005934,1394,272.08881,"19235-17-7",NA,"","HMDB02224"
"met218","5-methyl-2'-deoxycytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",38159,"LC/MS Pos Early",100002300,2303,242.11354,"838-07-3",440055,"C03592","HMDB00982"
"met219","5-methylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",22119,"LC/MS Neg",100000763,1608,256.09389,"2140-61-6",92918,"","HMDB02894"
"met220","5-methylcytosine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",21106,"LC/MS Pos Early",1049,2195,126.06619,"58366-64-6",65040,"C02376",""
"met221","5-methylnorleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",43546,"LC/MS Pos Early",100004549,3116,146.11756,"31872-98-7",94817,"","HMDB01173"
"met222","5-methylthioadenosine (MTA)","Amino Acid","Polyamine Metabolism",1419,"LC/MS Pos Early",212,2752,298.09684,"2457-80-9",439176,"C00170","HMDB00267"
"met223","5-oxoproline","Amino Acid","Glutathione Metabolism",1494,"LC/MS Neg",1021,738.5,128.03531,"98-79-3",7405,"C01879",""
"met224","6-hydroxyindole sulfate","Xenobiotics","Chemical",48698,"LC/MS Neg",100006260,2498,212.0023,"",NA,"","HMDB61705"
"met225","6-oxopiperidine-2-carboxylate","Amino Acid","Lysine Metabolism",43231,"LC/MS Neg",100004499,965,142.05096,"34622-39-4",3014237,"","HMDB12458"
"met226","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","Lipid","Sterol",36776,"LC/MS Neg",100001609,5288.1,429.30103,"115538-85-7",3081085,"C17337",""
"met227","7-hydroxyindole sulfate","Amino Acid","Tryptophan Metabolism",52915,"LC/MS Neg",100009043,1765,212.0023,"",NA,"","HMDB00897"
"met228","7-methylguanine","Nucleotide","Purine Metabolism, Guanine containing",35114,"LC/MS Pos Early",100001456,2175,166.07234,"578-76-7",11361,"C02242","HMDB04704"
"met229","9,10-DiHOME","Lipid","Fatty Acid, Dihydroxy",38399,"LC/MS Neg",179,5180,313.23843,"263399-34-4",9966640,"C14828","HMDB00201"
"met230","acetylcarnitine (C2)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",32198,"LC/MS Pos Early",100000802,2282,204.12304,"5080-50-2",1,"C02571",""
"met231","aconitate [cis or trans]","Energy","TCA Cycle",46173,"LC/MS Neg",100001359,580,173.00916,"",NA,"","HMDB00034"
"met232","adenine","Nucleotide","Purine Metabolism, Adenine containing",554,"LC/MS Pos Early",880,2221,136.06178,"73-24-5",190,"C00147","HMDB00050"
"met233","adenosine","Nucleotide","Purine Metabolism, Adenine containing",555,"LC/MS Pos Early",798,2169,268.10404,"58-61-7",60961,"C00212","HMDB00448"
"met234","adipate","Lipid","Fatty Acid, Dicarboxylate",21134,"LC/MS Polar",100000863,3000,145.05063,"124-04-9",196,"C06104","HMDB61677"
"met235","adipoylcarnitine (C6-DC)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",52988,"LC/MS Pos Early",100006614,2558,290.15982,"",71296139,"","HMDB02226"
"met236","adrenate (22:4n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",32980,"LC/MS Neg",100001193,5678,331.26425,"2091-25-0",5497181,"C16527",""
"met237","adrenoylcarnitine (C22:4)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57528,"LC/MS Pos Late",100015850,1415,476.37343,"",NA,"","HMDB00161"
"met238","alanine","Amino Acid","Alanine and Aspartate Metabolism",1126,"LC/MS Pos Early",811,1700,90.05496,"56-41-7",5950,"C00041","HMDB01209"
"met239","allantoic acid","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",33434,"LC/MS Polar",218,2960,175.04728,"99-16-1",203,"C00499","HMDB00462"
"met240","allantoin","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,"LC/MS Polar",1002,1672,157.03671,"97-59-6",204,"C02350",""
"met241","alpha-CEHC sulfate","Cofactors and Vitamins","Tocopherol Metabolism",47666,"LC/MS Neg",100005972,3090,357.10134,"",NA,"","HMDB01624"
"met242","alpha-hydroxycaproate","Lipid","Fatty Acid, Monohydroxy",37073,"LC/MS Neg",100001723,1920,131.07136,"6064-63-7",99824,"","HMDB00746"
"met243","alpha-hydroxyisocaproate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",22132,"LC/MS Neg",100000706,1840,131.07136,"10303-64-7",83697,"C03264","HMDB00407"
"met244","alpha-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",33937,"LC/MS Neg",100001300,1126,117.05571,"600-37-3",99823,"","HMDB00005"
"met245","alpha-ketobutyrate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",4968,"LC/MS Polar",796,940,101.02442,"600-18-0",58,"C00109","HMDB00208"
"met246","alpha-ketoglutarate","Energy","TCA Cycle",528,"LC/MS Polar",93,2700,145.01425,"305-72-6;328-50-7;22202-68-2",51,"C00026","HMDB01893"
"met247","alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism",1561,"LC/MS Pos Late",1105,2522,430.37818,"59-02-9;10191-41-0",14985,"C02477","HMDB00045"
"met248","adenosine 5'-monophosphate (AMP)","Nucleotide","Purine Metabolism, Adenine containing",32342,"LC/MS Pos Early",209,1013,348.07037,"149022-20-8",6083,"C00020","HMDB00194"
"met249","anserine","Peptide","Dipeptide Derivative",15747,"LC/MS Pos Early",100000044,2924,241.12952,"10030-52-1",112072,"C01262","HMDB01123"
"met250","anthranilate","Amino Acid","Tryptophan Metabolism",4970,"LC/MS Pos Early",1258,2606,138.05496,"118-92-3",227,"C00108",""
"met251","arabitol/xylitol","Carbohydrate","Pentose Metabolism",48885,"LC/MS Polar",100006430,1932.4,151.0612,"",6912,"C01904",""
"met252","arabonate/xylonate","Carbohydrate","Pentose Metabolism",48255,"LC/MS Polar",100006115,2700,165.04046,"",NA,"","HMDB02212"
"met253","arachidate (20:0)","Lipid","Long Chain Fatty Acid",1118,"LC/MS Neg",893,6240,311.29555,"506-30-9",10467,"C06425","HMDB01043"
"met254","arachidonate (20:4n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",1110,"LC/MS Neg",229,5535,303.23295,"506-32-1",444899,"C00219","HMDB04080"
"met255","arachidonoyl ethanolamide","Lipid","Endocannabinoid",32463,"LC/MS Pos Late",1488,1535,348.28971,"94421-68-8",5281969,"C11695",""
"met256","arachidonoylcarnitine (C20:4)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57518,"LC/MS Pos Late",100015837,1353,448.34215,"",NA,"",""
"met257","arachidonoylcholine","Lipid","Fatty Acid Metabolism (Acyl Choline)",53261,"LC/MS Pos Late",100009332,1390,390.33666,"",NA,"","HMDB06460"
"met258","arachidoylcarnitine (C20)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57513,"LC/MS Pos Late",100015833,1512,456.40474,"",NA,"","HMDB03148"
"met259","argininate*","Amino Acid","Urea cycle; Arginine and Proline Metabolism",57461,"LC/MS Pos Early",100002769,2150,176.10297,"157-07-3",160437,"","HMDB00517"
"met260","arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",1638,"LC/MS Pos Early",231,2825,175.11896,"1119-34-2",232,"C00062","HMDB00052"
"met261","argininosuccinate","Amino Acid","Urea cycle; Arginine and Proline Metabolism",15497,"LC/MS Pos Early",232,2745,291.12992,"156637-58-0",828,"C03406","HMDB00168"
"met262","asparagine","Amino Acid","Alanine and Aspartate Metabolism",512,"LC/MS Pos Early",917,1225,133.06077,"70-47-3",6267,"C00152","HMDB00191"
"met263","aspartate","Amino Acid","Alanine and Aspartate Metabolism",443,"LC/MS Pos Early",234,1165,134.04479,"56-84-8",5960,"C00049","HMDB00784"
"met264","azelate (nonanedioate)","Lipid","Fatty Acid, Dicarboxylate",18362,"LC/MS Neg",2029,1276,187.09758,"123-99-9",2266,"C08261","HMDB12091"
"met265","behenoyl dihydrosphingomyelin (d18:0/22:0)*","Lipid","Sphingolipid Metabolism",57331,"LC/MS Pos Late",100009026,3150,789.68441,"",NA,"","HMDB12103"
"met266","behenoyl sphingomyelin (d18:1/22:0)*","Lipid","Sphingolipid Metabolism",48492,"LC/MS Pos Late",100006294,3083,787.66876,"",NA,"",""
"met267","behenoylcarnitine (C22)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57514,"LC/MS Pos Late",100015832,1561,484.43604,"",NA,"","HMDB01870"
"met268","benzoate","Xenobiotics","Benzoate Metabolism",15778,"LC/MS Neg",100000008,1750,121.0295,"65-85-0",243,"C00180",""
"met269","benzoylcarnitine*","Xenobiotics","Chemical",43265,"LC/MS Pos Early",100004555,3041,266.13869,"105450-08-6",NA,"","HMDB00056"
"met270","beta-alanine","Nucleotide","Pyrimidine Metabolism, Uracil containing",55,"LC/MS Pos Early",244,1905,90.05496,"56-41-7;107-95-9",239,"C00099","HMDB13222"
"met271","beta-guanidinopropanoate","Xenobiotics","Food Component/Plant",35101,"LC/MS Pos Early",100001411,2145,132.07676,"353-09-3",67701,"C03065","HMDB00754"
"met272","beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",12129,"LC/MS Neg",1442,1027,117.05572,"625-08-1",69362,"","HMDB00043"
"met273","betaine","Amino Acid","Glycine, Serine and Threonine Metabolism",3141,"LC/MS Pos Early",799,1064,118.08626,"107-43-7",247,"C00719","HMDB00852"
"met274","beta-sitosterol","Lipid","Sterol",27414,"LC/MS Pos Late",100001033,3054,397.38289,"83-46-5",222284,"C01753","HMDB00054"
"met275","bilirubin (Z,Z)","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",43807,"LC/MS Pos Late",1090,1840,585.27076,"635-65-4",5280352,"C00486",""
"met276","bilirubin (E,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",32586,"LC/MS Pos Late",100001950,1045,585.27076,"114-25-0",5315454,"","HMDB00488"
"met277","bilirubin (E,Z or Z,E)*","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",47886,"LC/MS Pos Late",100001951,1265,585.27076,"",5799469,"","HMDB01008"
"met278","biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",2137,"LC/MS Pos Late",250,1016,583.25512,"55482-27-4;55482-27-4",5353439,"C00500","HMDB02013"
"met279","butyrylcarnitine (C4)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",32412,"LC/MS Pos Early",100001054,2860,232.15434,"25576-40-3",439829,"C02862","HMDB00808"
"met280","butyrylglycine","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)",31850,"LC/MS Neg",100001151,1470,144.06661,"20208-73-5",88412,"","HMDB02869"
"met281","campesterol","Lipid","Sterol",33997,"LC/MS Pos Late",100001269,2873,383.36724,"474-62-4",173183,"C01789","HMDB00062"
"met282","carnitine","Lipid","Carnitine Metabolism",15500,"LC/MS Pos Early",100000007,1978,162.11247,"461-05-2",10917,"C00318","HMDB00033"
"met283","carnosine","Amino Acid","Histidine Metabolism",1768,"LC/MS Pos Early",249,2942,227.11387,"305-84-0",439224,"C00386",""
"met284","carotene diol (1)","Xenobiotics","Food Component/Plant",57635,"LC/MS Pos Late",100015966,1720,568.42759,"",NA,"","HMDB59724"
"met285","catechol sulfate","Xenobiotics","Benzoate Metabolism",35320,"LC/MS Neg",100001605,1906,188.98631,"4918-96-1",3083879,"",""
"met286","ceramide (d16:1/24:1, d18:1/22:1)*","Lipid","Ceramides",57437,"LC/MS Pos Late",100015727,3850,620.59763,"",NA,"",""
"met287","ceramide (d18:1/17:0, d17:1/18:0)*","Lipid","Ceramides",57434,"LC/MS Pos Late",100015737,3055,552.53505,"",NA,"",""
"met288","ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*","Lipid","Ceramides",57440,"LC/MS Pos Late",100015755,3920,594.58199,"",NA,"",""
"met289","ceramide (d18:2/24:1, d18:1/24:2)*","Lipid","Ceramides",57443,"LC/MS Pos Late",100015744,3858,646.6133,"",NA,"","HMDB06347"
"met290","cerotoylcarnitine (C26)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57516,"LC/MS Pos Late",100015835,1649,540.49864,"",NA,"",""
"met291","C-glycosyltryptophan","Amino Acid","Tryptophan Metabolism",48782,"LC/MS Pos Early",100006379,2700,367.14998,"180509-18-6",10981970,"","HMDB00518"
"met292","chenodeoxycholate","Lipid","Primary Bile Acid Metabolism",1563,"LC/MS Neg",1123,5264,391.28538,"474-24-9;474-25-9",10133,"C02528","HMDB00619"
"met293","cholate","Lipid","Primary Bile Acid Metabolism",22842,"LC/MS Neg",136,5165,407.28029,"81-25-4",221493,"C00695","HMDB00067"
"met294","cholesterol","Lipid","Sterol",63,"LC/MS Pos Late",266,2707,369.35159,"57-88-5",11025495,"C00187","HMDB00097"
"met295","choline","Lipid","Phospholipid Metabolism",15506,"LC/MS Pos Early",1256,1961,104.10699,"67-48-1",305,"C00114","HMDB11621"
"met296","cinnamoylglycine","Xenobiotics","Food Component/Plant",38637,"LC/MS Neg",100002253,3127,204.06661,"16534-24-0",709625,"","HMDB00094"
"met297","citrate","Energy","TCA Cycle",1564,"LC/MS Neg",1124,582,191.01973,"77-92-9",311,"C00158","HMDB00904"
"met298","citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",2132,"LC/MS Pos Early",391,1520,176.10297,"372-75-8",9750,"C00327","HMDB00095"
"met299","cytidine 5'-monophosphate (5'-CMP)","Nucleotide","Pyrimidine Metabolism, Cytidine containing",2372,"LC/MS Pos Early",282,835,324.05914,"63-37-6",6131,"C00055","HMDB00063"
"met300","cortisol","Lipid","Corticosteroids",1712,"LC/MS Neg",356,4710,361.20204,"50-23-7",5754,"C00735","HMDB02802"
"met301","cortisone","Lipid","Corticosteroids",1769,"LC/MS Neg",273,4575,359.18639,"53-06-5",222786,"C00762","HMDB00064"
"met302","creatine","Amino Acid","Creatine Metabolism",27718,"LC/MS Pos Early",1221,1947,132.07676,"57-00-1",586,"C00300","HMDB01511"
"met303","creatine phosphate","Amino Acid","Creatine Metabolism",33951,"LC/MS Neg",100000112,603,210.02853,"922-32-7",587,"C02305","HMDB00562"
"met304","creatinine","Amino Acid","Creatine Metabolism",513,"LC/MS Pos Early",275,2055,114.06619,"60-27-5",588,"C00791","HMDB00099"
"met305","cystathionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",15705,"LC/MS Pos Early",310,2270,223.07471,"535-34-2",439258,"C02291","HMDB00574"
"met306","cysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",1868,"LC/MS Pos Early",800,1488,122.02703,"52-90-4;56-89-3",5862,"C00097","HMDB00731"
"met307","cysteine s-sulfate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",22176,"LC/MS Pos Early",100000808,565,201.98384,"1637-71-4",115015,"C05824","HMDB00996"
"met308","cysteine sulfinic acid","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",37443,"LC/MS Pos Early",100002113,597,154.01686,"207121-48-0",109,"C00606","HMDB00656"
"met309","cysteine-glutathione disulfide","Amino Acid","Glutathione Metabolism",35159,"LC/MS Pos Early",100001437,2465,427.09519,"13081-14-6",4247235,"","HMDB00078"
"met310","cysteinylglycine","Amino Acid","Glutathione Metabolism",35637,"LC/MS Pos Early",278,2132,179.0485,"19246-18-5",439498,"C01419","HMDB00192"
"met311","cystine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",56,"LC/MS Pos Early",279,2000,241.03113,"56-89-3",67678,"C00491","HMDB00089"
"met312","cytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",514,"LC/MS Pos Early",827,2124,244.0928,"65-46-3",6175,"C00475","HMDB00630"
"met313","cytosine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",573,"LC/MS Pos Early",881,2060,112.05054,"71-30-7",597,"C00380",""
"met314","daidzein sulfate (2)","Xenobiotics","Food Component/Plant",48728,"LC/MS Neg",100006363,3330,333.00756,"",NA,"","HMDB00651"
"met315","decanoylcarnitine (C10)","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",33941,"LC/MS Pos Late",100001251,1130,316.24824,"1492-27-9",10245190,"","HMDB01161"
"met316","deoxycarnitine","Lipid","Carnitine Metabolism",36747,"LC/MS Pos Early",100001662,2052,146.11756,"6249-56-5",134,"C01181","HMDB00626"
"met317","deoxycholate","Lipid","Secondary Bile Acid Metabolism",1114,"LC/MS Neg",302,5294,391.28538,"83-44-3",222528,"C04483",""
"met318","diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*","Lipid","Diacylglycerol",54966,"LC/MS Pos Late",100010940,2733,608.52486,"",NA,"","HMDB05060"
"met319","dihomo-linoleate (20:2n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",17805,"LC/MS Neg",1231,5730,307.26425,"2091-39-6",6439848,"C16525","HMDB02925"
"met320","dihomo-linolenate (20:3n3 or n6)","Lipid","Polyunsaturated Fatty Acid (n3 and n6)",35718,"LC/MS Neg",100001739,5596,305.2486,"17046-59-2",5280581,"C03242",""
"met321","dihomo-linolenoylcarnitine (20:3n3 or 6)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57521,"LC/MS Pos Late",100015840,1392,450.35777,"",NA,"",""
"met322","dihomo-linolenoyl-choline","Lipid","Fatty Acid Metabolism (Acyl Choline)",53262,"LC/MS Pos Late",100009335,1424,392.35231,"",NA,"",""
"met323","dihomo-linoleoylcarnitine (C20:2)*","Lipid","Fatty Acid Metabolism(Acyl Carnitine)",57520,"LC/MS Pos Late",100015839,1436,452.37343,"",NA,"","HMDB03349"
"met324","dihydroorotate","Nucleotide","Pyrimidine Metabolism, Orotate containing",601,"LC/MS Polar",923,1910,157.02548,"155-54-4",648,"C00337","HMDB04983"
