BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,PLATFORM,RI,MASS,PUBCHEM,KEGG,HMDB,Cat 1_vial 1,Cat 2_vial 1,cat 3_vial 1,cat 4_vial 1,cat 5_vial 1,cat 6_vial 1,cat 7_vial 1,cat 8_vial 1,cat 1_vial 2,cat 2_vial 2,cat 3_vial 2,cat 4_vial 2,cat 5_vial 2,cat 6_vial 2,cat 7_vial 2,cat 8_vial 2,cat 1_vial 3,cat 2_vial 3,cat 3_vial 3,cat 4_vial 3,cat 5_vial 3,cat 6_vial 3,cat 7_vial 3,cat 8_vial 3
2-aminoadipate,Amino Acid,Lysine Metabolism,LC/MS Neg,639.2,160.06153,469,C00956,HMDB00510,"1,795,432","1,935,220","1,793,807","2,178,067","2,310,260","2,086,395","1,857,046","1,943,999","1,955,788","1,604,675","1,885,451","2,477,888","2,127,551","2,003,680","1,723,820","1,959,807","2,021,035","1,835,325","1,933,990","2,319,923","2,432,700","2,298,956","1,708,462","2,044,555"
2-aminobutyrate,Amino Acid,Glutathione Metabolism,LC/MS Pos Early,2059,104.07061,439691,C02261,HMDB00650,"55,140,480","67,556,880","62,701,660","74,062,072","84,360,104","71,816,600","83,814,528","59,881,896","54,720,320","71,075,680","60,467,764","78,001,464","85,308,448","73,628,264","82,366,424","60,049,600","55,968,972","73,941,152","61,494,112","73,923,784","78,758,104","75,112,664","88,232,896","58,127,796"
2-aminoheptanoate,Lipid,"Fatty Acid, Amino",LC/MS Pos Early,3160,146.11756,227939,,,"5,639,884","6,606,919","9,420,229","5,284,888","4,391,731","6,821,247","9,810,037","5,412,449","5,160,883","6,622,744","9,028,827","5,930,056","4,070,728","6,873,015","9,151,253","5,259,006","5,378,420","6,882,452","9,115,111","5,469,982","4,152,664","6,865,720","9,350,891","5,027,198"
2-aminooctanoate,Lipid,"Fatty Acid, Amino",LC/MS Neg,3385,158.11865,69522,,HMDB00991,"96,797","81,394","90,599","95,804","64,501","59,808","117,958","37,718","79,862","103,097","86,152","110,608","39,083","68,496","127,022","39,812","94,045","98,529","85,451","110,738","52,421","57,408","157,393","48,140"
2-aminophenol sulfate,Xenobiotics,Chemical,LC/MS Neg,1677,188.0023,181670,,HMDB61116,"563,041","449,427","519,781","471,110","758,777","458,681","328,261","528,777","620,776","500,906","517,972","540,047","643,071","500,960","369,310","521,276","627,440","453,351","472,574","525,863","674,642","435,259","372,684","517,643"
2-arachidonoylglycerol (20:4),Lipid,Monoacylglycerol,LC/MS Neg,6170,303.23293,5282280,C13856,HMDB04666,"1,551,197","2,139,800","3,386,819","3,550,691","1,784,062","2,839,637","2,206,386","2,295,805","3,096,013","2,760,974","2,700,674","3,373,983","1,880,190","3,356,050","1,965,736","2,536,607","2,284,383","2,946,696","3,708,667","3,070,596","1,873,570","2,346,656","2,716,364","2,558,965"
2'-deoxyadenosine,Nucleotide,"Purine Metabolism, Adenine containing",LC/MS Pos Early,2252,252.10912,13730,C00559,HMDB00101,,"61,189","111,693","142,298","139,333","189,055",,"87,475","117,762","119,915","77,610","155,492","106,931","112,500",,"154,671","113,365","178,500","146,906","122,863","77,273","113,206","101,002","100,742"
2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",LC/MS Pos Early,2193,228.09789,13711,C00881,HMDB00014,"43,558,564","39,504,960","41,579,300","47,573,964","48,048,216","42,088,644","37,102,480","46,133,256","41,943,996","38,236,960","37,613,996","48,371,128","50,218,780","43,336,576","36,153,116","42,660,308","46,769,420","39,508,272","38,966,464","45,742,728","46,442,224","43,497,500","40,374,596","43,612,024"
2'-deoxyguanosine,Nucleotide,"Purine Metabolism, Guanine containing",LC/MS Neg,1751,266.08948,187790,C00330,HMDB00085,"113,528","41,146","98,271","56,786","86,338","290,691","188,778","53,708","120,244","39,758","72,220","123,528","61,450","249,615","259,765","88,485","94,616","30,727","53,280","100,092","119,805","236,447","243,061","52,772"
2'-deoxyinosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",LC/MS Neg,1688,251.07857,65058,C05512,HMDB00071,"175,580","67,312","123,567","94,055","211,405","321,100","293,749","106,759","231,365","76,913","94,956","178,629","160,736","339,720","318,425","152,707","161,029","60,635","81,535","162,010","139,776","288,733","257,023","131,202"
2'-deoxyuridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,1586,227.0673,13712,C00526,HMDB00012,"645,988","376,745","454,250","317,032","384,730","793,985","267,679","839,982","870,390","468,699","481,302","778,335","413,201","848,063","349,736","953,524","565,959","344,752","317,232","426,392","427,834","727,436","278,167","695,157"
2-docosahexaenoylglycerol (22:6)*,Lipid,Monoacylglycerol,LC/MS Neg,6050,309.22236,,,HMDB11557,,,"98,729",,,,,,,"57,572",,,,,,,,,,,,,,
2-hydroxy-3-methylvalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,1800,131.07136,164623,,HMDB00317,"3,344,739","2,416,974","3,140,864","2,464,792","2,583,216","4,741,321","3,344,922","3,983,413","3,290,292","2,400,857","3,016,395","2,783,869","2,548,508","4,726,417","3,332,941","3,878,520","3,552,514","2,431,015","2,961,888","2,535,922","2,463,122","4,514,715","3,403,757","3,898,293"
2-hydroxybutyrate/2-hydroxyisobutyrate,Amino Acid,Glutathione Metabolism,LC/MS Polar,1258,103.04006,,,,"184,676,336","294,589,888","139,332,000","211,013,136","201,187,952","275,684,704","277,772,704","265,801,424","199,304,048","310,443,680","147,542,320","244,830,048","183,815,760","266,406,384","253,479,344","236,824,128","180,838,880","290,608,512","131,940,896","217,480,624","195,756,576","279,719,776","289,818,112","259,996,208"
2-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,4840,187.13396,21488,,,"2,513,728","3,423,153","4,602,020","3,062,400","2,096,694","3,801,712","6,040,860","4,297,949","2,125,292","4,311,450","4,515,171","3,640,040","2,037,036","3,814,939","6,544,535","4,395,996","2,284,634","4,972,180","4,086,363","3,211,550","2,446,611","3,601,453","5,822,012","4,704,449"
2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Pos Early,958,131.03389,43,C02630,HMDB00606,"1,468,416","1,756,098","1,612,743","1,792,090","1,306,291","1,825,054","2,120,701","1,951,867","1,661,217","1,447,563","1,552,726","1,809,048","1,088,813","2,016,714","2,000,889","1,864,756","1,506,466","1,807,460","1,405,034","1,844,694","1,275,947","1,683,301","1,942,743","1,865,017"
2-hydroxyhippurate (salicylurate),Xenobiotics,Benzoate Metabolism,LC/MS Neg,2184,194.04588,10253,C07588,HMDB00840,"220,610","135,097",,"146,745","193,357","163,105","75,153","127,307","183,383","167,796",,"168,708","169,493","138,693","98,083","120,727","190,069","139,219",,"190,879","169,727","138,544","95,519","133,925"
2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,3736.8,159.10266,94180,,HMDB02264,,"588,303","644,943","614,751","342,311","391,560","626,409","548,895","400,006","663,367","645,774","553,975","358,284","404,605","562,678","542,612","455,035","661,591","562,544","678,082","448,747","425,276","544,700","579,170"
2-hydroxyoleate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5560,297.24351,9796304,,,"3,745,190","3,230,778","3,964,714","4,304,927","2,640,630","3,861,783","4,164,453","3,337,265","6,397,542","3,768,594","3,409,808","4,064,549","2,687,364","4,302,494","5,018,897","2,610,754","4,517,862","4,493,396","2,772,615","3,764,523","2,860,878","4,136,120","5,852,628","2,719,653"
2-hydroxypalmitate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5511.2,271.22786,92836,,HMDB31057,"42,640,944","36,030,444","51,585,300","47,115,524","27,753,478","34,024,532","54,089,784","40,927,304","76,381,624","50,502,240","44,742,516","53,254,656","25,253,136","42,181,712","48,361,100","32,443,956","50,865,068","47,209,692","41,485,920","47,152,440","33,229,350","42,228,160","56,246,436","37,901,420"
2-hydroxyphenylacetate,Amino Acid,Tyrosine Metabolism,LC/MS Polar,858.6,151.04006,11970,C05852,HMDB00669,"18,172,612","13,995,265","15,422,692","13,243,006","18,309,160","16,235,224","13,994,479","13,473,896","20,839,788","15,358,484","17,098,052","14,323,565","16,518,345","16,365,342","14,540,681","13,714,445","19,837,344","14,955,639","15,750,800","13,785,589","17,309,488","15,511,320","14,301,673","14,394,615"
2-hydroxystearate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5695,299.25917,69417,C03045,,"8,276,107","6,622,409","10,966,206","7,780,871","5,367,927","7,467,703","9,907,041","8,336,576","14,301,206","9,052,478","8,837,633","9,744,709","5,662,226","9,858,858","11,388,498","7,045,902","8,873,241","7,783,695","9,193,901","9,429,488","6,165,782","9,399,954","12,334,809","7,532,208"
2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,LC/MS Neg,6250,279.23293,5365676,,HMDB11538,"22,003,708","29,035,442","40,537,484","40,631,572","26,394,580","33,743,620","24,232,022","29,236,436","35,543,204","35,048,872","33,341,388","38,783,680","25,832,640","37,624,620","22,008,502","32,726,604","29,754,410","38,116,976","44,106,432","35,315,232","23,369,978","29,358,536","25,362,552","30,074,830"
2-methylbutyrylcarnitine (C5),Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Pos Early,3035,246.16999,6426901,,HMDB00378,"7,579,799","13,419,265","7,766,219","8,070,922","6,128,613","4,834,357","6,254,427","6,159,175","6,845,306","11,994,072","7,495,865","9,075,508","6,483,401","4,919,334","5,968,547","6,042,228","7,581,710","13,854,340","7,396,826","8,805,348","6,218,351","5,735,965","6,231,118","5,911,437"
2-methylcitrate/homocitrate,Energy,TCA Cycle,LC/MS Neg,575,205.03538,,,,"976,583","821,560","905,040","918,750","1,175,115","878,129","783,024","848,762","1,068,910","993,432","897,418","1,169,095","1,068,316","1,151,853","914,514","1,023,275","899,138","563,304","756,831","908,007","840,542","933,012","705,679","665,334"
2-myristoylglycerol (14:0),Lipid,Monoacylglycerol,LC/MS Neg,6230,227.20163,137938,,HMDB11530,,"1,073,766",,"774,411",,"372,548","306,353",,,,,"508,142",,"544,132","1,533,296",,,,"582,237","959,267",,"686,134","324,417","602,913"
2-oleoylglycerol (18:1),Lipid,Monoacylglycerol,LC/MS Neg,6500,281.24858,5319879,,HMDB11537,"7,643,844","8,855,918","12,374,510","13,894,560","7,965,403","16,432,043","9,206,325","9,020,456","13,056,446","10,148,513","9,994,762","15,728,230","7,121,943","15,540,068","9,252,849","7,959,472","10,622,614","14,601,203","12,561,458","9,562,952","7,653,959","15,101,657","11,931,071","9,246,667"
2'-O-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",LC/MS Pos Early,2411,258.10845,150971,,,"7,354,144","4,757,234","7,290,988","7,711,395","5,228,918","6,637,458","8,165,096","7,339,304","7,260,177","4,807,587","7,579,590","8,036,571","5,460,245","7,146,160","8,481,735","6,800,996","7,406,767","5,101,266","7,602,200","7,812,903","5,526,579","6,875,028","8,797,990","6,380,752"
2'-O-methyluridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Neg,1831,257.07791,102212,,,"549,326","309,746","403,596","505,686","355,291","414,579","515,773","418,892","458,700","315,086","418,517","573,834","331,877","464,719","476,872","471,171","507,896","357,384","394,303","624,144","369,979","426,272","526,694","436,152"
2-oxindole-3-acetate,Xenobiotics,Food Component/Plant,LC/MS Pos Early,2378,192.06552,3080590,,HMDB35514,"346,403","213,313","413,777",,"527,772","282,016","57,282","400,500","89,523","290,951","352,309","278,284","516,646",,"252,323","491,646","432,062",,"370,447",,"80,323","157,695","172,686","486,106"
2-oxoadipate,Amino Acid,Lysine Metabolism,LC/MS Polar,2633.1,159.0299,71,C00322,HMDB00225,"3,205,347","2,078,483","3,124,579","2,240,459","4,190,571","4,208,498","3,296,361","4,384,499","3,432,895","1,441,253","2,856,795","3,094,186","3,744,508","4,056,495","2,468,990","3,360,198","3,698,174","2,190,768","3,286,642","3,452,868","4,434,254","4,738,355","3,694,831","4,714,479"
2-oxoarginine*,Amino Acid,Urea cycle; Arginine and Proline Metabolism,LC/MS Pos Early,1760,174.08732,558,C03771,HMDB04225,"34,290,964","32,337,584","17,448,700","36,858,716","48,395,392","36,128,528","18,651,520","49,250,028","34,362,500","30,912,066","16,375,168","37,989,152","50,101,392","40,866,580","18,221,870","43,588,580","32,365,796","32,579,844","16,206,815","36,032,944","46,868,616","34,554,600","16,993,672","44,962,464"
2-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,LC/MS Neg,6016,253.21727,,,HMDB11565,"1,442,811","2,225,969","1,956,651","1,870,478","2,246,971","3,598,923","1,759,763","1,704,531","2,880,744","2,010,631","1,567,363","2,096,387","1,878,540","3,862,696","2,088,943","2,044,293","1,799,079","2,833,313","1,949,276","1,686,593","1,421,587","2,542,262","2,018,107","1,843,033"
2-palmitoleoyl-GPC (16:1)*,Lipid,Lysophospholipid,LC/MS Neg,5720,568.3256,,,HMDB10383,"633,693","1,121,021","734,684","496,295","794,565","887,773","581,126","761,540","1,039,622","1,134,973","682,035","662,030","599,244","899,874","630,330","574,422","617,956","1,130,603","683,443","591,060","640,197","901,392","535,575","662,116"
2-palmitoylglycerol (16:0),Lipid,Monoacylglycerol,LC/MS Neg,6400,255.23293,123409,,HMDB11533,"13,504,951","10,951,470","13,558,147","17,400,744","11,976,205","20,137,592","17,611,620","12,419,517","22,494,052","12,273,058","11,272,784","30,822,598","12,456,834","22,148,008","17,471,732","13,022,271","13,392,737","12,692,048","14,295,432","12,635,181","12,605,463","16,196,042","24,891,248","11,301,755"
2-palmitoyl-GPC (16:0)*,Lipid,Lysophospholipid,LC/MS Neg,6215,570.34125,15061532,,HMDB61702,"24,007,804","24,872,956","28,916,602","19,663,480","18,419,712","19,579,624","20,579,728","24,400,962","36,853,692","25,776,184","25,659,472","25,036,456","17,191,856","21,747,200","20,457,274","18,834,938","25,877,680","23,810,958","26,324,546","23,005,286","17,742,144","22,967,796","19,899,682","20,823,572"
2-piperidinone,Xenobiotics,Food Component/Plant,LC/MS Pos Early,1675,100.07569,12665,,HMDB11749,"351,223,360","151,390,544","319,768,672","157,072,272","411,240,416","453,840,992","59,026,688","362,316,512","367,122,720","141,205,904","303,840,576","156,548,160","408,130,464","483,893,312","58,031,816","349,728,800","352,378,496","148,011,088","303,770,784","135,140,720","420,064,192","427,661,760","57,323,040","334,928,960"
2-pyrrolidinone,Amino Acid,Glutamate Metabolism,LC/MS Pos Early,1262,86.06004,12025,,HMDB02039,"1,714,030","1,689,784","1,667,518","1,538,403","3,349,526","1,722,119","938,439","2,495,060","1,999,282","1,956,231","1,890,807","2,103,667","3,029,086","1,643,203","899,222","1,861,261","1,970,839","1,896,041","2,004,812","1,654,128","2,840,101","1,845,020","1,079,157","1,466,968"
2-stearoyl-GPE (18:0)*,Lipid,Lysophospholipid,LC/MS Neg,6350,480.30956,,,HMDB11129,"1,163,207","1,198,246","2,256,574","2,861,533","2,748,375","2,044,145","1,007,472","1,800,620","5,485,532","1,667,553","1,774,782","3,488,584","2,435,906","2,368,619","1,026,779","1,995,356","2,803,059","2,807,630","2,963,854","1,822,647","1,089,327","2,464,350","2,248,579","1,624,874"
3-(3-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,1980,165.05571,91,C11457,HMDB00375,"1,061,092","105,831","619,656","312,191","987,145","727,672","862,672","200,103","1,024,375",,"641,819","325,236","819,791","665,842","844,612","525,428","938,152",,"512,408",,"782,894","476,808","701,566","214,435"
3-(3-hydroxyphenyl)propionate sulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,1294,245.01253,187488,,,"8,837,224","1,586,833","7,320,199","1,619,199","6,930,173","5,985,614","4,349,110","3,857,391","7,381,695","1,913,892","6,059,422","1,827,149","5,638,835","6,335,478","5,917,170","4,431,106","8,814,425","1,490,681","6,687,899","2,017,249","5,163,370","4,953,072","5,249,368","4,117,683"
3-(4-hydroxyphenyl)lactate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,1379,181.05063,9378,C03672,HMDB00755,"11,246,946","8,668,141","8,789,836","11,217,435","14,289,250","13,842,203","9,958,781","20,277,864","8,953,786","10,354,628","8,450,659","13,055,211","12,231,603","14,417,892","11,274,144","21,440,840","9,039,774","10,035,065","8,284,162","12,356,236","13,039,927","12,917,909","10,745,418","20,919,110"
3-(4-hydroxyphenyl)propionate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,1670,165.05571,10394,C01744,HMDB02199,"253,314","165,696","119,254","229,884","273,766","199,332","146,994","105,608","237,363",,"164,195","233,530","199,782","260,012","229,696","144,929","247,684","133,481","95,929","299,793","321,802","257,539","253,206","120,968"
3-acetylphenol sulfate,Xenobiotics,Chemical,LC/MS Neg,2477,215.00196,,,,"254,280","132,634","134,590","107,061","281,857","216,464","126,267","154,848","233,207","165,677","117,617","126,490","222,051","248,028","139,688","197,549","245,806","166,157","142,315","119,980","275,575","230,353","160,103","181,233"
3-aminoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Thymine containing",LC/MS Pos Early,2190,104.07061,64956,C05145,HMDB03911,"1,944,437","2,616,197","22,401,928","4,221,276","3,809,210","3,190,407","3,209,038","2,330,454","3,874,953","3,001,736","20,364,802","3,121,655","1,908,043","2,706,730","2,303,903","2,000,027","1,801,389","2,500,754","21,754,048","2,564,567","1,846,749","2,444,907","2,738,441","1,706,969"
3beta-hydroxy-5-cholestenoate,Lipid,Sterol,LC/MS Neg,5398,415.32177,165511,C17333,,"1,797,778","5,077,541","2,685,944","4,896,546","2,455,860","621,518","2,282,722","1,216,141","3,160,112","5,457,325","3,220,969","5,797,846","2,262,955","746,479","1,680,352","1,025,724","1,660,201","7,196,379","2,431,213","3,203,310","3,898,500","921,783","2,031,528","1,093,921"
3-ethylphenylsulfate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,3530,201.0227,,C14386,,"122,161","13,416","36,215","35,621","76,891","221,515","30,592","67,175","124,838","18,662","22,853","32,347","75,384","214,880","55,740","87,273","120,503","25,910","29,867","43,298","88,092","223,180","69,648","76,125"
3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,975,117.05571,188979,,HMDB00396,"1,783,590","3,517,127","1,908,441","2,156,320","1,777,405","2,886,258","3,190,922","2,345,217","1,862,028","3,827,846","1,932,725","2,155,601","1,849,822","2,814,770","3,202,597","2,247,555","1,746,383","3,749,835","1,840,236","2,040,076","1,721,636","2,843,485","3,372,579","2,208,136"
3-hydroxy-3-methylglutarate,Lipid,Mevalonate Metabolism,LC/MS Polar,2850,161.04555,1662,C03761,HMDB00355,"102,343,968","106,580,032","108,325,632","104,395,344","158,797,456","135,618,048","164,347,232","151,627,776","116,448,904","125,977,600","111,143,024","125,338,896","146,792,544","133,015,872","149,530,192","141,483,056","107,067,320","120,264,688","102,080,624","98,368,592","110,755,232","130,768,776","191,717,664","144,555,008"
3-hydroxybutyrate (BHBA),Lipid,Ketone Bodies,LC/MS Polar,1475,103.04007,441,C01089,HMDB00357,"25,778,492","23,805,394","29,193,960","21,540,258","24,969,592","27,188,816","27,999,170","36,413,452","25,943,130","24,153,620","34,708,056","21,814,552","24,252,132","27,365,186","29,654,850","30,147,226","24,236,956","20,820,048","27,923,656","20,573,604","26,054,444","23,700,180","30,465,666","33,706,468"
3-hydroxybutyrylcarnitine (1),Lipid,Fatty Acid Metabolism(Acyl Carnitine),LC/MS Pos Early,2400,248.14925,53481617,,HMDB13127,"368,747",,"358,015",,"627,347","314,143","385,217","471,697",,,"242,767",,"408,471",,"474,097","602,771","157,217",,"287,944",,,,,"524,284"
3-hydroxybutyrylcarnitine (2),Lipid,Fatty Acid Metabolism(Acyl Carnitine),LC/MS Pos Early,2340,248.14925,,,HMDB13127,"988,286","831,709","672,331","760,491","1,037,565","884,977","955,891","1,102,028","1,072,919","555,463","684,296","889,823","1,003,370","702,672","1,006,860","1,045,944","1,044,853","788,915","693,612","756,870","776,637","813,067","1,057,670","1,108,406"
3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,4634.7,187.13396,26612,,HMDB02203,"271,781","163,573","193,465","161,861","236,693","442,344","373,925","347,020","278,805","313,039","260,973","170,772","145,705","400,274","407,142","404,428","208,524",,"241,327","226,919",,"386,856","482,978","298,972"
3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,1725,131.07136,151492,,,"178,034","133,093","130,020","135,887","156,253","171,543","182,235","243,743","150,345",,"152,886","147,331","136,779","277,583","161,012","192,044","158,575","109,461","138,530","86,528","683,806","204,066","205,814","145,523"
3-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,LC/MS Neg,1687,194.04588,450268,,HMDB06116,"45,627",,"92,524","48,484","80,325","62,237","123,911","77,948","49,380","30,528","85,010","52,102","68,798","67,426","112,057","73,990","54,632",,"81,827","46,092","73,028","58,702","129,504","71,368"
3-hydroxyindolin-2-one sulfate,Xenobiotics,Chemical,LC/MS Neg,2082,227.99721,,,,"1,457,938","470,680","770,161","436,423","1,800,334","908,304","234,792","465,497","1,468,470","440,189","608,336","347,389","1,479,015","774,248","255,940","347,323","2,038,658","642,512","870,003","525,785","1,894,782","1,032,027","303,907","592,639"
3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,1619,103.04007,87,C06001,HMDB00336,"30,103,722","28,436,484","33,912,328","37,452,352","38,682,188","46,476,944","41,197,976","60,012,232","32,370,808","36,145,488","38,919,296","38,323,948","36,456,936","48,232,532","41,489,268","49,257,184","30,818,388","30,181,384","29,967,656","38,204,760","41,465,980","41,933,320","41,935,960","57,607,948"
3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,5175,215.16526,94216,,HMDB00387,"388,619","279,362","260,003","222,627","275,018","438,022","585,621","311,801","307,622","322,658","222,639","291,039","299,944","473,634","445,108","348,680",,"354,707","294,390","235,802","253,673","387,389","573,987","346,703"
3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,3446,159.10266,26613,,HMDB01954,,,"152,707",,,"251,225","225,679","297,793","101,147",,,,,"228,192",,,,,"74,936",,,"280,717",,
3-hydroxyphenylacetate sulfate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,969,230.99688,,,,"262,623",,"130,701","123,889","97,359","110,183",,,"253,424",,"96,438","126,837","76,017","143,135","92,937","77,731","246,920",,"117,354","182,935","116,536","137,037","196,920","52,215"
3-hydroxypyridine sulfate,Xenobiotics,Chemical,LC/MS Neg,1595.5,173.98665,,,,"5,270,696","5,675,201","5,262,419","6,783,390","6,079,481","5,219,656","3,535,757","4,961,665","6,091,868","6,065,475","5,549,414","7,673,491","5,698,409","5,426,755","3,903,184","4,626,250","5,459,346","6,182,449","4,838,247","8,031,242","6,245,219","5,640,034","4,033,881","4,783,091"
3-hydroxysuberate,Lipid,"Fatty Acid, Monohydroxy",LC/MS Neg,644,189.07684,22328017,,HMDB00325,,,,,,,,,,,,,,,,,,,,,,,,
3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,LC/MS Neg,2222.2,212.0023,10258,,HMDB00682,"83,948,760","31,381,188","42,266,232","31,006,794","96,605,240","74,366,944","23,420,834","41,785,464","94,335,720","35,221,200","42,541,272","34,758,888","77,838,512","75,657,056","26,255,204","44,437,504","93,160,736","33,663,796","40,796,932","36,873,840","82,740,392","69,149,408","23,756,124","47,954,116"
3-methoxytyramine,Amino Acid,Tyrosine Metabolism,LC/MS Pos Early,2635,168.10191,1669,C05587,HMDB00022,"193,540","138,861","145,478",,"208,358","163,596","78,399","101,930","167,169","103,893","147,748","138,757","188,267","174,908","67,931","115,880","271,113",,"188,399","136,878","134,169","193,144","111,832","137,194"
3-methoxytyramine sulfate,Amino Acid,Tyrosine Metabolism,LC/MS Neg,1722,246.04416,,,,"57,895","88,050","113,910","92,735","78,243","74,358","53,890","144,445","61,358","128,211","123,493","122,346","56,510","78,669","53,252","152,686","51,093","106,822","112,351","99,684","67,606","77,734","43,767","132,050"
3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,LC/MS Pos Early,2555,212.09174,1670,,HMDB01434,"558,175","889,144","883,794","697,247","699,271","731,259","1,423,171","691,517","563,554","906,302","867,240","888,167","676,655","607,376","1,514,479","611,332","558,604","669,271","889,087","964,536","614,066","727,096","1,463,203","740,073"
3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,LC/MS Neg,2790,203.00196,,,,"122,172","99,399","75,417","53,045","126,116","93,014","83,496","70,215","100,453","108,217","82,238","73,552","102,666","123,502","97,102","68,575","104,996","111,783","86,616","66,288","126,741","96,156","102,895","79,855"
3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,911,115.04006,49,C00141,HMDB00019,"37,965,760","27,609,120","24,814,654","30,717,260","32,078,236","28,043,628","40,665,056","40,149,192","41,314,720","26,201,424","21,819,164","40,011,296","30,246,296","26,756,714","36,923,468","32,716,336","40,329,404","28,596,552","23,793,336","39,330,928","39,369,620","28,804,616","40,646,296","46,255,560"
3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Neg,2064.2,129.05572,47,C00671,HMDB03736,"55,825,700","34,006,736","39,189,784","39,752,872","45,610,828","42,015,764","53,242,952","60,680,168","57,310,884","35,901,632","38,368,224","57,478,812","41,627,896","43,843,464","52,420,632","55,592,004","55,095,244","35,680,548","37,445,604","49,338,696","46,513,244","40,923,032","56,452,848","62,178,900"
3-methyladipate,Lipid,"Fatty Acid, Dicarboxylate",LC/MS Polar,2865,159.06628,12292,,HMDB00555,"425,414",,"404,967","503,912","333,791","308,328",,"257,103","358,611","312,844","323,624","424,832","315,929","344,498",,"156,217","254,047","339,667","232,622","345,082","376,649","254,104","284,689",
3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",LC/MS Polar,2700,99.04518,1551553,,HMDB00522,"3,231,495","1,718,040","1,671,637","1,399,516","3,126,424","2,588,117","2,299,509","1,978,076","3,700,882","1,972,899","1,714,339","1,666,906","2,940,559","2,582,316","2,046,930","1,761,465","3,305,640","1,867,618","1,607,368","1,498,511","3,027,558","2,540,385","2,378,170","1,929,634"
3-methylhistidine,Amino Acid,Histidine Metabolism,LC/MS Neg,906.3,168.07785,64969,C01152,HMDB00479,"8,773,362","7,406,799","11,746,362","11,381,302","11,674,707","10,403,824","8,761,426","9,032,367","8,603,084","7,662,034","11,702,148","12,292,941","10,565,858","10,453,963","10,235,022","10,108,364","8,515,384","8,134,256","11,459,413","13,127,563","10,113,233","10,219,999","9,705,133","9,949,914"
3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,LC/MS Neg,2860,149.0608,107,C05629,HMDB00764,"6,884,448","1,765,057","1,062,374","1,086,755","3,837,760","2,756,555","2,946,987","669,068","6,426,365","1,910,291","875,167","1,017,484","3,259,671","2,808,290","3,143,928","587,221","6,067,185","1,810,354","957,518","1,015,752","3,728,784","2,566,259","3,171,500","571,273"
3-ureidoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",LC/MS Polar,1910,145.06186,160663,C05100,HMDB02031,"8,274,714","4,944,145","5,390,453","6,907,865","5,421,421","5,033,650","4,049,564","7,402,371","7,952,324","5,119,722","5,978,681","7,180,494","4,890,464","4,804,854","3,778,613","6,391,337","8,202,704","5,245,726","4,998,021","7,311,294","6,334,142","5,255,107","4,004,359","8,168,012"
